"index","id","earnings","occ","ability","age","region","female","education","exp"
"1",1,2203.5,11,25,33,1,0,3,24
"2",2,3973.5,40,57,42,2,1,8,30
"3",3,3298,23,47,43,1,0,5,33
"4",4,2806.5,16,47,30,3,1,6,23
"5",5,4144,22,83,43,3,0,13,25
"6",6,2081.5,4,26,33,3,1,3,27
"7",7,4234.5,43,50,41,4,0,8,29
"8",8,4820.5,46,72,35,3,1,9,25
"9",9,4090.5,45,46,30,4,1,4,20
"10",10,3299,34,24,33,2,0,2,24
"11",11,2527.5,4,67,37,3,1,7,23
"12",12,2381.5,4,81,30,4,1,8,16
"13",13,3383.5,25,30,39,2,0,3,33
"14",14,5269,46,82,40,4,0,8,30
"15",15,3482.5,25,32,44,1,1,5,33
"16",16,3524.5,10,68,47,3,0,10,36
"17",17,4987.5,43,72,31,3,0,10,20
"18",18,5397,44,95,43,4,1,13,27
"19",19,4309.5,35,60,45,2,1,9,30
"20",20,1657,2,33,42,1,0,4,35
"21",21,3603,21,89,31,1,0,11,19
"22",22,4782.5,45,75,44,1,1,10,33
"23",23,2800,11,39,35,4,1,5,27
"24",24,3613,27,37,40,1,1,4,30
"25",25,2417.5,5,33,30,1,0,5,18
"26",26,2468.5,15,30,40,3,1,4,31
"27",27,2588.5,18,46,32,3,1,6,25
"28",28,3830,33,56,34,2,0,7,22
"29",29,3227.5,32,21,46,4,0,2,41
"30",30,3439,9,59,42,4,1,8,31
"31",31,4533,48,26,44,1,0,2,39
"32",32,4320.5,43,43,41,1,1,5,29
"33",33,4201,42,39,47,4,0,4,40
"34",34,3925.5,28,66,36,2,0,10,19
"35",35,2871.5,6,99,36,1,1,14,19
"36",36,2694.5,6,41,35,1,1,6,23
"37",37,4193.5,43,49,45,2,0,7,37
"38",38,4216,45,51,34,4,0,8,20
"39",39,3389,31,46,41,1,1,6,30
"40",40,2793.5,4,89,38,4,0,10,21
"41",41,2936,20,26,45,2,0,3,36
"42",42,4704,46,45,41,4,0,7,32
"43",43,4300,18,87,40,1,0,12,25
"44",44,4322,41,25,44,1,0,4,37
"45",45,3156.5,9,56,46,3,0,9,36
"46",46,4289,22,96,48,4,1,15,31
"47",47,3984.5,9,99,39,2,0,12,23
"48",48,2729,3,47,32,4,0,8,20
"49",49,2615.5,5,72,41,4,0,10,29
"50",50,3946,26,60,40,3,0,8,31
"51",51,5426.5,50,63,45,3,0,6,36
"52",52,3996.5,38,21,30,2,0,3,23
"53",53,3611,21,83,45,1,1,8,32
"54",54,4836.5,50,84,37,4,1,10,22
"55",55,3857,46,25,38,2,1,2,31
"56",56,4345.5,27,72,44,3,0,8,30
"57",57,3985,24,75,49,3,0,11,33
"58",58,3112,9,70,32,3,0,10,19
"59",59,3827.5,17,83,43,4,0,11,27
"60",60,4194,38,33,48,3,0,3,43
"61",61,4286.5,36,53,36,1,0,9,20
"62",62,2198,14,34,43,1,1,3,38
"63",63,2493,5,69,39,4,0,8,26
"64",64,5373,40,98,38,1,0,10,27
"65",65,3445.5,15,79,46,4,0,12,33
"66",66,5231.5,47,54,47,3,0,6,36
"67",67,4219,38,34,49,2,1,3,45
"68",68,4587.5,31,80,42,4,1,12,26
"69",69,3097.5,20,40,44,4,0,4,39
"70",70,5382.5,51,97,43,2,0,11,27
"71",71,3959.5,22,78,46,1,0,11,28
"72",72,4205.5,44,33,44,4,1,5,38
"73",73,2767.5,17,52,32,4,0,7,19
"74",74,4539,26,88,35,1,0,11,21
"75",75,3644,42,33,38,2,0,5,28
"76",76,2942,27,34,38,1,1,3,32
"77",77,3475.5,31,56,35,2,0,5,23
"78",78,2870.5,18,32,33,1,0,5,24
"79",79,2524,11,53,34,4,0,7,22
"80",80,3048,5,69,43,4,1,11,29
"81",81,2444.5,5,32,49,1,1,3,41
"82",82,2129,6,24,43,2,1,3,39
"83",83,3832,14,93,35,2,1,10,23
"84",84,3920,33,58,35,4,1,8,23
"85",85,3857,27,40,39,3,0,5,33
"86",86,2264.5,4,22,47,1,0,3,42
"87",87,4010.5,35,32,39,3,0,3,32
"88",88,5000,37,97,45,1,0,11,27
"89",89,4385,47,60,37,1,1,9,26
"90",90,2140,1,21,43,2,0,2,36
"91",91,4823.5,51,71,32,2,1,10,16
"92",92,3862,43,35,33,4,0,5,22
"93",93,4002,30,59,35,2,0,9,20
"94",94,3241,28,23,48,3,1,2,44
"95",95,3154,21,58,43,1,0,7,35
"96",96,2344.5,6,50,45,2,0,5,35
